Id,Category
276,29
277,22
278,29
279,10
280,26
281,27
282,21
283,27
284,28
285,22
286,25
287,15
288,28
289,16
290,4
291,14
292,15
293,14
294,18
295,20
296,25
297,28
298,21
299,27
300,27
301,20
302,17
303,7
304,12
305,15
306,10
307,15
308,4
309,14
310,25
311,8
312,4
313,23
314,29
315,18
316,3
317,12
318,23
319,23
320,27
321,4
322,18
323,13
324,5
325,27
326,20
327,13
328,27
329,2
330,17
331,8
332,25
333,9
334,25
335,3
336,25
337,20
338,18
339,6
340,16
341,9
342,25
343,23
344,16
345,17
346,15
347,9
348,16
349,10
350,10
351,15
352,23
353,11
354,19
355,13
356,29
357,9
358,28
359,9
360,9
361,16
362,29
363,19
364,7
365,17
366,1
367,18
368,13
369,27
370,13
371,27
372,9
373,29
374,29
375,23
376,28
377,0
378,27
379,17
380,22
381,18
382,15
383,22
384,16
385,29
386,26
387,28
388,4
389,8
390,14
391,20
392,27
393,29
394,23
395,12
396,15
397,2
398,26
399,5
400,20
401,27
402,7
403,4
404,10
405,21
406,17
407,12
408,17
409,15
410,11
411,21
412,18
413,14
414,22
415,27
416,25
417,15
418,6
419,28
420,29
421,29
422,21
423,19
424,3
425,17
426,29
427,11
428,14
429,4
430,28
431,25
432,14
433,3
434,11
435,6
436,25
437,29
438,18
439,21
440,28
441,13
442,28
443,21
444,23
445,29
446,6
447,29
448,4
449,4
450,16
451,3
452,21
453,28
454,10
455,4
456,8
457,4
458,11
459,11
460,14
461,29
462,12
463,29
464,0
465,27
466,9
467,0
468,22
469,28
470,27
471,17
472,17
473,23
474,2
475,13
476,23
477,3
478,13
479,28
480,26
481,4
482,8
483,28
484,21
485,18
486,23
487,0
488,23
489,21
490,17
491,20
492,26
493,19
494,11
495,8
496,25
497,18
498,15
499,3
500,22
501,18
502,25
503,17
504,15
505,27
506,22
507,21
508,12
509,15
510,22
511,14
512,23
513,23
514,3
515,8
516,23
517,15
518,23
519,29
520,27
521,27
522,10
523,3
524,23
525,22
526,15
527,6
528,27
529,12
530,20
531,7
532,20
533,25
534,14
535,28
536,3
537,13
538,26
539,27
540,3
541,25
542,3
543,7
544,27
545,17
546,9
547,8
548,10
549,10
550,8
551,16
552,13
553,17
554,17
555,20
556,29
557,28
558,8
559,13
560,14
561,27
562,26
563,18
564,8
565,20
566,14
567,18
568,13
569,13
570,22
571,23
572,16
573,27
574,11
575,2
576,1
577,11
578,9
579,29
580,26
581,26
582,3
583,28
584,1
585,15
586,0
587,19
588,13
589,7
590,7
591,27
592,8
593,8
594,8
595,6
596,7
597,21
598,18
599,3
600,11
601,17
602,16
603,25
604,3
605,28
606,4
607,19
608,22
609,7
610,27
611,29
612,9
613,16
614,19
615,15
616,6
617,3
618,22
619,22
620,26
621,28
622,23
623,13
624,10
625,9
626,28
627,23
628,21
629,10
630,3
631,28
632,18
633,18
634,8
635,25
636,15
637,2
638,18
639,27
640,19
641,9
642,10
643,7
644,7
645,3
646,13
647,17
648,19
649,6
650,22
651,7
652,18
653,28
654,26
655,7
656,16
657,28
658,5
659,10
660,14
661,26
662,15
663,3
664,6
665,21
666,25
667,3
668,28
669,12
670,27
671,28
672,23
673,3
674,14
675,3
676,29
677,6
678,4
679,16
680,7
681,0
682,3
683,4
684,3
685,26
686,3
687,17
688,28
689,29
690,16
691,18
692,21
693,23
694,22
695,3
696,22
697,27
698,4
699,17
700,20
701,9
702,15
703,23
704,3
705,11
706,29
707,3
708,27
709,7
710,11
711,14
712,25
713,26
714,27
715,13
716,22
717,8
718,10
719,17
720,2
721,18
722,0
723,16
724,3
725,27
726,13
727,14
728,4
729,27
730,8
731,9
732,14
733,16
734,9
735,22
736,16
737,26
738,5
739,7
740,16
741,7
742,14
743,0
744,3
745,3
746,11
747,18
748,0
749,10
750,26
751,3
752,16
753,8
754,20
755,28
756,4
757,10
758,14
759,17
760,0
761,0
762,20
763,29
764,21
765,6
766,13
767,25
768,23
769,5
770,17
771,8
772,29
773,8
774,13
775,16
776,10
777,7
778,21
779,15
780,19
781,7
782,8
783,25
784,15
785,26
786,4
787,15
788,10
789,6
790,4
791,27
792,14
793,7
794,4
795,6
796,4
797,27
798,1
799,20
800,29
801,18
802,13
803,19
804,18
805,18
806,12
807,3
808,16
809,27
810,12
811,13
812,16
813,3
814,3
815,13
816,27
817,13
818,26
819,14
820,17
821,27
822,10
823,8
824,26
825,16
826,11
827,18
828,8
829,26
830,29
831,3
832,26
833,7
834,17
835,0
836,23
837,16
838,3
839,20
840,6
841,19
842,25
843,14
844,15
845,10
846,28
847,28
848,12
849,23
850,6
851,8
852,10
853,15
854,1
855,6
856,27
857,23
858,17
859,7
860,28
861,18
862,16
863,4
864,27
865,0
866,3
867,12
868,26
869,18
870,15
871,3
872,19
873,12
874,21
875,16
876,11
877,9
878,23
879,15
880,28
881,22
882,17
883,23
884,6
885,27
886,3
887,25
888,18
889,6
890,22
891,17
892,6
893,10
894,4
895,21
896,18
897,20
898,12
899,23
900,29
901,16
902,29
903,6
904,20
905,10
906,3
907,10
908,15
909,7
910,25
911,28
912,17
913,15
914,11
915,10
916,1
917,22
918,23
919,9
920,11
921,17
922,26
923,9
924,20
925,27
926,4
927,7
928,25
929,10
930,18
931,22
932,29
933,16
934,10
935,3
936,29
937,14
938,13
939,13
940,11
941,3
942,7
943,15
944,25
945,13
946,18
947,29
948,20
949,26
950,28
951,13
952,23
953,4
954,18
955,20
956,3
957,18
958,14
959,22
960,28
961,14
962,23
963,4
964,16
965,26
966,20
967,26
968,6
969,15
970,1
971,6
972,15
973,0
974,0
975,19
976,27
977,28
978,3
979,16
980,0
981,8
982,0
983,5
984,8
985,16
986,17
987,28
988,18
989,16
990,29
991,22
992,7
993,1
994,28
995,3
996,6
997,16
998,3
999,16
